huc_12,subwatershed_description,rps_slope_mean,rps_elevation_mean,acres,sq_mile,states,huc_2,huc_4,huc_6,huc_8,huc_10,region_description,subregion_description,basin_description,subbasin_description,watershed_description
020501010803,lower_butternut_creek,6.54,1481.68,33381.06,52.15,ny,02,0205,020501,02050101,0205010108,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,butternut_creek
020501010901,north_winfield_creek,4.5,1409.85,9985.18,15.6,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010902,west_branch_unadilla_river,5.44,1433.32,15689.99,24.51,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010903,headwaters_unadilla_river,4.47,1427.25,27016.42,42.21,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010904,beaver_creek,6.28,1555.45,21284.17,33.25,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010905,upper_unadilla_river,6.46,1467.63,23743.45,37.09,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010906,center_brook,6.15,1505.36,14561.29,22.75,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010907,great_brook,6.83,1576,16655.11,26.02,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010908,middle_unadilla_river,6.4,1400.31,33602.13,52.5,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010909,guilford_creek,6.2,1538.93,14379.07,22.46,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010910,lower_unadilla_river,6.75,1442.94,39516.32,61.74,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501011001,upper_ouleout_creek,6.94,1998.31,13258.54,20.71,ny,02,0205,020501,02050101,0205010110,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,ouleout_creek
020501011002,treadwell_creek,7.47,1880.83,15990.66,24.98,ny,02,0205,020501,02050101,0205010110,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,ouleout_creek
020501011003,middle_ouleout_creek,8.24,1732.17,10975.17,17.14,ny,02,0205,020501,02050101,0205010110,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,ouleout_creek
020501011004,handsome_brook,8.53,1762.08,17369.85,27.14,ny,02,0205,020501,02050101,0205010110,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,ouleout_creek
020501011005,lower_ouleout_creek,7.63,1443.14,12430.14,19.42,ny,02,0205,020501,02050101,0205010110,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,ouleout_creek
020501011101,otsdawa_creek,7.64,1567.73,13046.21,20.38,ny,02,0205,020501,02050101,0205010111,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,upper_susquehanna_river
020501011102,brier_creek-susquehanna_river,7.9,1467.85,20692.22,32.33,ny,02,0205,020501,02050101,0205010111,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,upper_susquehanna_river
020501011103,sand_hill_creek-susquehanna_river,7.08,1456.89,16525.03,25.82,ny,02,0205,020501,02050101,0205010111,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,upper_susquehanna_river
020501011104,carrs_creek,8.15,1660.32,19055.85,29.77,ny,02,0205,020501,02050101,0205010111,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,upper_susquehanna_river
020501011105,martin_brook-susquehanna_river,6.62,1316.48,12723,19.87,ny,02,0205,020501,02050101,0205010111,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,upper_susquehanna_river
020501011201,bennettsville_creek,6.99,1599.4,25628.48,40.04,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011202,kelsey_brook,5.53,1446.09,26882.71,42,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011203,yaleville_brook-susquehanna_river,6.14,1364.16,31198.55,48.74,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011204,wylie_brook,5.61,1425.25,16051.68,25.08,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011205,cornell_creek-susquehanna_river,6.47,1341.56,19884.21,31.06,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011206,belden_brook-susquehanna_river,6.44,1320.55,22737.17,35.52,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011207,ouaquaga_creek-susquehanna_river,6.76,1369.95,17479.23,27.31,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011208,occanum_creek-susquehanna_river,8.38,1414.86,24137.92,37.71,ny,02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
